screenshot_id,captured_at_local,source_order,team_a,team_b,market_type,selection,selection_side,line,price,probability_source,market_no_vig_probability,model_ev,positive_probability,non_loss_probability,full_loss_probability,low_score_density_le_2,high_score_density_ge_4,team_a_win_probability,draw_probability,team_b_win_probability,team_a_rating_std_log_xg,team_b_rating_std_log_xg,most_likely_score,strategy_tier,risk_flags,strategy_reasons
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T18:00:00+08:00,27,Canada,Qatar,total,Over 2.5/3,over,2.75,0.90,data/processed/match_robust_score_probabilities.csv,0.5090,-0.0336,0.5597,0.5597,0.4403,0.4403,0.3442,0.604944,0.213011,0.182045,0.1588,0.2079,1-0,C,over_low_score_density,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T18:00:00+08:00,27,Canada,Qatar,total,Under 2.5/3,under,2.75,0.97,data/processed/match_robust_score_probabilities.csv,0.4910,-0.0248,0.4403,0.4403,0.3442,0.4403,0.3442,0.604944,0.213011,0.182045,0.1588,0.2079,1-0,C,below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T21:00:00+08:00,28,Mexico,South Korea,asian_handicap,Mexico -0.5,team_a,-0.5,1.04,data/processed/match_robust_score_probabilities.csv,0.4742,-0.1470,0.4182,0.4182,0.5818,0.4710,0.3135,0.418151,0.249954,0.331895,0.1601,0.1617,1-1,C,high_full_loss_probability;below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T21:00:00+08:00,28,Mexico,South Korea,asian_handicap,South Korea +0.5,team_b,0.5,0.84,data/processed/match_robust_score_probabilities.csv,0.5258,0.0706,0.5818,0.5818,0.4182,0.4710,0.3135,0.418151,0.249954,0.331895,0.1601,0.1617,1-1,B,underdog_handicap_cap,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T21:00:00+08:00,28,Mexico,South Korea,total,Over 2/2.5,over,2.25,1.06,data/processed/match_robust_score_probabilities.csv,0.4677,0.2065,0.5290,0.5290,0.2375,0.4710,0.3135,0.418151,0.249954,0.331895,0.1601,0.1617,1-1,C,over_low_score_density,positive_model_ev
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T21:00:00+08:00,28,Mexico,South Korea,total,Under 2/2.5,under,2.25,0.81,data/processed/match_robust_score_probabilities.csv,0.5323,-0.2421,0.4710,0.4710,0.5290,0.4710,0.3135,0.418151,0.249954,0.331895,0.1601,0.1617,1-1,C,high_full_loss_probability;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T15:00:00+08:00,29,United States,Australia,asian_handicap,United States -1,team_a,-1,1.06,data/processed/match_robust_score_probabilities.csv,0.4691,-0.4096,0.1919,0.3870,0.6130,0.4117,0.3719,0.386998,0.238163,0.374840,0.1532,0.1616,1-1,C,high_full_loss_probability;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T15:00:00+08:00,29,United States,Australia,asian_handicap,Australia +1,team_b,1,0.82,data/processed/match_robust_score_probabilities.csv,0.5309,0.3108,0.6130,0.8081,0.1919,0.4117,0.3719,0.386998,0.238163,0.374840,0.1532,0.1616,1-1,B,underdog_handicap_cap,positive_model_ev;strong_non_loss_profile
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T15:00:00+08:00,29,United States,Australia,total,Over 2.5,over,2.5,0.93,data/processed/match_robust_score_probabilities.csv,0.5013,0.1355,0.5883,0.5883,0.4117,0.4117,0.3719,0.386998,0.238163,0.374840,0.1532,0.1616,1-1,C,over_low_score_density,positive_model_ev
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T15:00:00+08:00,29,United States,Australia,total,Under 2.5,under,2.5,0.94,data/processed/match_robust_score_probabilities.csv,0.4987,-0.2014,0.4117,0.4117,0.5883,0.4117,0.3719,0.386998,0.238163,0.374840,0.1532,0.1616,1-1,C,high_full_loss_probability;below_market_probability,
