team,team_code,fifa_rank,elo_rating,recent_matches,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,avg_goals_for,avg_goals_against,strength_of_schedule,form_notes,source,source_checked_at
Norway,NOR,11,1917,20,14,3,3,59,19,2.950,0.950,1588.5,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Türkiye,TUR,12,1911,20,14,3,3,42,22,2.100,1.100,1595.5,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Croatia,CRO,13,1908,20,11,4,5,40,21,2.000,1.050,1632.2,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Japan,JPN,14,1906,20,14,4,2,48,9,2.400,0.450,1600.0,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Belgium,BEL,15,1893,20,10,5,5,52,22,2.600,1.100,1613.0,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Uruguay,URU,16,1892,20,5,11,4,17,17,0.850,0.850,1728.5,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Switzerland,SUI,17,1891,20,8,7,5,40,26,2.000,1.300,1682.3,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Mexico,MEX,18,1875,20,11,7,2,29,14,1.450,0.700,1699.6,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Senegal,SEN,19,1867,20,14,3,3,47,15,2.350,0.750,1604.0,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Paraguay,PAR,22,1833,20,9,6,5,25,18,1.250,0.900,1765.8,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Austria,AUT,23,1830,20,12,4,4,45,15,2.250,0.750,1582.0,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Morocco,MAR,24,1824,20,16,4,0,41,6,2.050,0.300,1569.5,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Canada,CAN,25,1788,20,10,8,2,31,11,1.550,0.550,1613.2,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Australia,AUS,28,1777,20,10,5,5,29,17,1.450,0.850,1638.2,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
