team,team_code,power_rating,club_quality_rating,elo_rating,elo_normalized,fifa_rank,fifa_rank_source,fifa_rank_normalized,form_rating,attack_rating,defense_rating,weights,source_checked_at
Congo DR,COD,63.33,60.27,1652,61.27,55,Elo rank proxy; replace with official FIFA rank when full table is available.,73.40,65.64,57.60,62.73,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Uzbekistan,UZB,63.12,54.27,1714,66.03,41,Elo rank proxy; replace with official FIFA rank when full table is available.,80.30,60.45,55.57,59.14,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Panama,PAN,62.81,44.73,1730,67.25,38,Elo rank proxy; replace with official FIFA rank when full table is available.,81.77,66.21,60.07,51.54,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Tunisia,TUN,60.61,56.88,1628,59.43,58,Elo rank proxy; replace with official FIFA rank when full table is available.,71.92,61.71,58.65,53.87,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
New Zealand,NZL,58.28,57.42,1562,54.37,72,Elo rank proxy; replace with official FIFA rank when full table is available.,65.02,62.69,62.53,49.24,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Jordan,JOR,57.86,54.27,1680,63.42,52,Elo rank proxy; replace with official FIFA rank when full table is available.,74.88,45.76,55.22,44.25,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Haiti,HAI,57.31,52.92,1548,53.30,73,Elo rank proxy; replace with official FIFA rank when full table is available.,64.53,65.24,62.34,49.75,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Saudi Arabia,KSA,56.90,62.73,1576,55.44,69,Elo rank proxy; replace with official FIFA rank when full table is available.,66.50,49.57,51.38,50.99,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
South Africa,RSA,56.18,59.62,1511,50.46,80,Elo rank proxy; replace with official FIFA rank when full table is available.,61.08,59.94,54.08,56.13,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Iraq,IRQ,54.87,50.69,1607,57.82,64,Elo rank proxy; replace with official FIFA rank when full table is available.,68.97,48.69,47.95,48.93,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Ghana,GHA,53.66,66.42,1510,50.38,81,Elo rank proxy; replace with official FIFA rank when full table is available.,60.59,43.36,53.20,49.76,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Cabo Verde,CPV,52.46,42.73,1578,55.60,68,Elo rank proxy; replace with official FIFA rank when full table is available.,67.00,51.36,48.99,48.98,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Curaçao,CUW,50.40,48.50,1434,44.56,91,Elo rank proxy; replace with official FIFA rank when full table is available.,55.67,59.55,55.33,47.00,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Qatar,QAT,44.75,62.73,1421,43.56,96,Elo rank proxy; replace with official FIFA rank when full table is available.,53.20,25.28,45.21,34.02,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Bosnia And Herzegovina,BIH,44.52,56.08,1616,58.51,60,Elo rank proxy; replace with official FIFA rank when full table is available.,70.94,0.00,32.90,62.90,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
Scotland,SCO,32.18,67.73,853,0.00,204,Elo rank proxy; replace with official FIFA rank when full table is available.,0.00,61.00,45.15,37.29,elo=0.40;club=0.25;form=0.25;fifa_rank=0.10,2026-06-13T15:40:07+00:00
