source_order,group,date_china,time_china,team_a,team_b,team_a_expected_goals,team_b_expected_goals,total_expected_goals,team_a_win_probability,draw_probability,team_b_win_probability,over_2_5_probability,under_2_5_probability,most_likely_score,most_likely_score_probability,captured_probability_mass,team_a_rating_std_log_xg,team_b_rating_std_log_xg,simulation_draws,simulation_seed
22,L,2026-06-18,04:00,England,Croatia,1.756,1.117,2.873,0.524512,0.234542,0.240946,0.545643,0.454357,1-1,0.108336,0.999834,0.1156,0.1446,2500,20260620
23,L,2026-06-18,07:00,Ghana,Panama,1.380,1.536,2.915,0.346441,0.243950,0.409609,0.551956,0.448044,1-1,0.110567,0.999855,0.1844,0.2076,2500,20260620
24,K,2026-06-18,10:00,Uzbekistan,Colombia,1.242,1.541,2.783,0.309154,0.248891,0.441955,0.526016,0.473984,1-1,0.114313,0.999898,0.1679,0.1588,2500,20260620
25,A,2026-06-19,00:00,Czechia,South Africa,1.567,1.246,2.813,0.449518,0.246140,0.304342,0.535562,0.464438,1-1,0.112834,0.999888,0.1528,0.1758,2500,20260620
26,B,2026-06-19,03:00,Switzerland,Bosnia and Herzegovina,1.555,0.832,2.387,0.539485,0.257332,0.203183,0.422875,0.577125,1-0,0.144260,0.999925,0.1459,0.1772,2500,20260620
27,B,2026-06-19,06:00,Canada,Qatar,1.965,0.965,2.930,0.604944,0.213011,0.182045,0.559695,0.440305,1-0,0.106296,0.999520,0.1588,0.2079,2500,20260620
28,A,2026-06-19,09:00,Mexico,South Korea,1.502,1.306,2.809,0.418151,0.249954,0.331895,0.529003,0.470997,1-1,0.114779,0.999910,0.1601,0.1617,2500,20260620
29,D,2026-06-20,03:00,United States,Australia,1.558,1.522,3.080,0.386998,0.238163,0.374840,0.588331,0.411669,1-1,0.106370,0.999840,0.1532,0.1616,2500,20260620
30,C,2026-06-20,06:00,Scotland,Morocco,0.781,2.003,2.785,0.139608,0.204591,0.655800,0.524876,0.475124,0-1,0.124865,0.999539,0.1797,0.1492,2500,20260620
31,C,2026-06-20,08:30,Brazil,Haiti,1.798,1.245,3.043,0.502337,0.230833,0.266830,0.579640,0.420360,1-1,0.104260,0.999760,0.1436,0.1727,2500,20260620
32,D,2026-06-20,11:00,Turkiye,Paraguay,1.650,1.231,2.881,0.470827,0.241646,0.287527,0.546970,0.453030,1-1,0.110537,0.999862,0.1473,0.1673,2500,20260620
33,F,2026-06-21,01:00,Netherlands,Sweden,1.914,1.313,3.227,0.513314,0.221893,0.264793,0.619823,0.380177,1-1,0.097941,0.999669,0.1328,0.1555,2500,20260620
34,E,2026-06-21,04:00,Germany,Ivory Coast,1.737,1.151,2.888,0.507815,0.236403,0.255782,0.549008,0.450992,1-1,0.108729,0.999843,0.1241,0.1610,2500,20260620
35,E,2026-06-21,08:00,Ecuador,Curacao,1.569,1.032,2.601,0.495965,0.251685,0.252350,0.482152,0.517848,1-0,0.116738,0.999895,0.1616,0.1852,2500,20260620
36,F,2026-06-21,12:00,Tunisia,Japan,1.035,1.789,2.824,0.221186,0.232740,0.546074,0.530535,0.469465,0-1,0.108278,0.999790,0.1668,0.1491,2500,20260620
37,H,2026-06-22,00:00,Spain,Saudi Arabia,2.131,0.814,2.945,0.672687,0.193653,0.133660,0.559131,0.440869,2-0,0.118276,0.999407,0.1102,0.1763,2500,20260620
38,G,2026-06-22,03:00,Belgium,Iran,1.676,1.329,3.005,0.457314,0.237429,0.305257,0.575011,0.424989,1-1,0.107317,0.999841,0.1375,0.1636,2500,20260620
39,H,2026-06-22,06:00,Uruguay,Cape Verde,1.447,1.131,2.578,0.442144,0.260410,0.297446,0.471207,0.528793,1-1,0.119180,0.999933,0.1666,0.2158,2500,20260620
40,G,2026-06-22,09:00,New Zealand,Egypt,1.366,1.485,2.850,0.351532,0.248326,0.400142,0.538820,0.461180,1-1,0.113422,0.999901,0.1707,0.1609,2500,20260620
41,J,2026-06-23,01:00,Argentina,Austria,1.614,1.200,2.814,0.470723,0.244810,0.284467,0.533660,0.466340,1-1,0.113045,0.999894,0.1310,0.1444,2500,20260620
42,I,2026-06-23,05:00,France,Iraq,1.995,0.898,2.894,0.627401,0.209490,0.163109,0.547967,0.452033,1-0,0.112869,0.999582,0.1238,0.1784,2500,20260620
43,I,2026-06-23,08:00,Norway,Senegal,1.624,1.460,3.084,0.415067,0.236702,0.348231,0.594173,0.405827,1-1,0.105836,0.999852,0.1374,0.1400,2500,20260620
44,J,2026-06-23,11:00,Jordan,Algeria,1.090,1.856,2.945,0.222731,0.226077,0.551192,0.559218,0.440782,1-1,0.103546,0.999713,0.1795,0.1543,2500,20260620
45,K,2026-06-24,01:00,Portugal,Uzbekistan,1.750,1.094,2.844,0.527029,0.235465,0.237506,0.536542,0.463458,1-1,0.108458,0.999817,0.1373,0.1679,2500,20260620
